id,workspace_slug,category,title,our_need,example_response,expected_document,status
99f32457-fa94-4d1a-b91a-d22dac1942c3,jondo,Company Overview,Key contacts and escalation matrix,"What we need
Please provide the full contact list and escalation matrix for daily operations and emergencies, including names, roles, email, phone/WhatsApp if available, working hours, backup contacts and escalation level.

Why this matters
We support customers 24/7 and need to know exactly who to contact depending on the topic, urgency, time of day, weekend or holiday.

Example / expected format
Operations: Name / email / hours
Logistics: Name / email / hours
Emergency escalation: Level 1 contact, Level 2 contact, expected response time","Operations: Name / email / hours
Logistics: Name / email / hours
Emergency escalation: Level 1 contact, Level 2 contact, expected response time",Attach supporting document or sample if available.,Waiting Supplier
031855cd-3b78-4e50-861f-c56638bd460b,shineon,Company Overview,Key contacts and escalation matrix,"What we need
Please provide the full contact list and escalation matrix for daily operations and emergencies, including names, roles, email, phone/WhatsApp if available, working hours, backup contacts and escalation level.

Why this matters
We support customers 24/7 and need to know exactly who to contact depending on the topic, urgency, time of day, weekend or holiday.

Example / expected format
Operations: Name / email / hours
Logistics: Name / email / hours
Emergency escalation: Level 1 contact, Level 2 contact, expected response time","Operations: Name / email / hours
Logistics: Name / email / hours
Emergency escalation: Level 1 contact, Level 2 contact, expected response time",Attach supporting document or sample if available.,Waiting Supplier
7a0f900e-8f8e-4546-a4ea-1d306d6eeb30,jondo,Company Overview,"Business hours, weekends and holidays","What we need
Please confirm your business hours, time zone, weekend coverage, holiday coverage and any days where production, shipping or support is closed.

Why this matters
Customer communication and delivery promises depend on knowing when your teams can act on production, shipping and urgent requests.

Example / expected format
Time zone: EST
Monday-Friday: 09:00-18:00
Saturday coverage: yes/no
Emergency weekend coverage: yes/no
Holiday calendar attached","Time zone: EST
Monday-Friday: 09:00-18:00
Saturday coverage: yes/no
Emergency weekend coverage: yes/no
Holiday calendar attached",Attach supporting document or sample if available.,Waiting Supplier
d81e7efc-1583-4f4b-bb72-9988d8daf90a,shineon,Company Overview,"Business hours, weekends and holidays","What we need
Please confirm your business hours, time zone, weekend coverage, holiday coverage and any days where production, shipping or support is closed.

Why this matters
Customer communication and delivery promises depend on knowing when your teams can act on production, shipping and urgent requests.

Example / expected format
Time zone: EST
Monday-Friday: 09:00-18:00
Saturday coverage: yes/no
Emergency weekend coverage: yes/no
Holiday calendar attached","Time zone: EST
Monday-Friday: 09:00-18:00
Saturday coverage: yes/no
Emergency weekend coverage: yes/no
Holiday calendar attached",Attach supporting document or sample if available.,Waiting Supplier
67a779c9-eb20-4942-8a3e-0ff702b1826c,jondo,Company Overview,Emergency communication process,"What we need
Please explain the process for urgent production, shipping, tracking or technical incidents: channel, owner, backup contact, response time and escalation steps.

Why this matters
Urgent issues must be handled quickly to avoid missed delivery promises and customer dissatisfaction.

Example / expected format
Urgent issue reported by email/Slack → Level 1 responds within 1 hour → Level 2 escalation after 2 hours → daily follow-up until solved",Urgent issue reported by email/Slack → Level 1 responds within 1 hour → Level 2 escalation after 2 hours → daily follow-up until solved,Attach supporting document or sample if available.,Waiting Supplier
3c4e5b1a-676d-42b0-85e6-fc9876d1f6a5,shineon,Company Overview,Emergency communication process,"What we need
Please explain the process for urgent production, shipping, tracking or technical incidents: channel, owner, backup contact, response time and escalation steps.

Why this matters
Urgent issues must be handled quickly to avoid missed delivery promises and customer dissatisfaction.

Example / expected format
Urgent issue reported by email/Slack → Level 1 responds within 1 hour → Level 2 escalation after 2 hours → daily follow-up until solved",Urgent issue reported by email/Slack → Level 1 responds within 1 hour → Level 2 escalation after 2 hours → daily follow-up until solved,Attach supporting document or sample if available.,Waiting Supplier
48cca6e3-b737-4b2f-87b2-ee2479fbd5c0,jondo,Products & Quality Assurance,Quality control process and quality commitment,"What we need
Please describe your quality control process before shipment and confirm your commitment to quality standards for all products proposed to us. Include checkpoints, sampling rules, rejection process and corrective actions.

Why this matters
Product quality impacts customer satisfaction, refunds, reorders, compensation and brand reputation.

Example / expected format
Artwork validation → production check → final QC → packaging check → shipment release. Failed items are blocked and remade before shipping.",Artwork validation → production check → final QC → packaging check → shipment release. Failed items are blocked and remade before shipping.,Attach supporting document or sample if available.,Waiting Supplier
e6ab3c94-4522-4ea9-9222-7754fa6db5a3,shineon,Products & Quality Assurance,Quality control process and quality commitment,"What we need
Please describe your quality control process before shipment and confirm your commitment to quality standards for all products proposed to us. Include checkpoints, sampling rules, rejection process and corrective actions.

Why this matters
Product quality impacts customer satisfaction, refunds, reorders, compensation and brand reputation.

Example / expected format
Artwork validation → production check → final QC → packaging check → shipment release. Failed items are blocked and remade before shipping.",Artwork validation → production check → final QC → packaging check → shipment release. Failed items are blocked and remade before shipping.,Attach supporting document or sample if available.,Waiting Supplier
db7b8ad7-9932-43e6-b6cf-73f7a4058940,jondo,Products & Quality Assurance,Damaged/defect rate KPI and review threshold,"What we need
Please provide the damaged/defect rate KPI you track, how it is calculated, reporting frequency and the threshold that triggers review and corrective action.

Why this matters
If defect or damage rates exceed the agreed threshold, we need root cause analysis, corrective action and compensation discussion.

Example / expected format
Monthly defect rate = defective units / shipped units. Threshold: 2%. If above threshold: RCA within 5 business days + corrective action plan.",Monthly defect rate = defective units / shipped units. Threshold: 2%. If above threshold: RCA within 5 business days + corrective action plan.,Attach supporting document or sample if available.,Waiting Supplier
b3b88ff0-9438-407e-9b78-3b668dfd0d23,shineon,Products & Quality Assurance,Damaged/defect rate KPI and review threshold,"What we need
Please provide the damaged/defect rate KPI you track, how it is calculated, reporting frequency and the threshold that triggers review and corrective action.

Why this matters
If defect or damage rates exceed the agreed threshold, we need root cause analysis, corrective action and compensation discussion.

Example / expected format
Monthly defect rate = defective units / shipped units. Threshold: 2%. If above threshold: RCA within 5 business days + corrective action plan.",Monthly defect rate = defective units / shipped units. Threshold: 2%. If above threshold: RCA within 5 business days + corrective action plan.,Attach supporting document or sample if available.,Waiting Supplier
247ca242-188e-4db9-bdfb-8c417e827cd4,jondo,Products & Quality Assurance,Personalization options,"What we need
Please list every personalization option available and the related limitations: text, name, photo, engraving, artwork, language, character limits, preview validation and error prevention.

Why this matters
Personalized orders are high-risk because mistakes cannot always be corrected after production starts.

Example / expected format
Product A: engraving, 20 characters max, English only. Product B: photo upload, JPG/PNG, minimum resolution 1000x1000.","Product A: engraving, 20 characters max, English only. Product B: photo upload, JPG/PNG, minimum resolution 1000x1000.",Attach supporting document or sample if available.,Waiting Supplier
f5c34312-2678-4969-b27b-084484b1620f,shineon,Products & Quality Assurance,Personalization options,"What we need
Please list every personalization option available and the related limitations: text, name, photo, engraving, artwork, language, character limits, preview validation and error prevention.

Why this matters
Personalized orders are high-risk because mistakes cannot always be corrected after production starts.

Example / expected format
Product A: engraving, 20 characters max, English only. Product B: photo upload, JPG/PNG, minimum resolution 1000x1000.","Product A: engraving, 20 characters max, English only. Product B: photo upload, JPG/PNG, minimum resolution 1000x1000.",Attach supporting document or sample if available.,Waiting Supplier
